Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
522312;Nezhinka;Nezhinka;Nezhenka,Nezhinka,Nezjinka,Нежинка;P;PPL;RU;Russian Federation;;55;;;;5100;;100;Asia/Yekaterinburg;2012-01-17;Russian Federation;51.7676, 55.3694
522377;Nevinnomyssk;Nevinnomyssk;Nevinnomis'k,Nevinnomisk,Nevinnomissk,Nevinnomossk,Nevinnomyskaya,Nevinnomyssk,Nevinnomysskaya,Nevinnomîssk,Nevinnomõssk,Nevinnomıssk,Nevinnonyssk,Nevinomisk,Nevinomysk,Nevinomyskas,Nevinomısk,Newinnomyssaja,Newinnomyssk,Newinnomysskaja,Niewinnomyssk,Njavinnamysk,Njewinnomyssk,Něvinnomyssk,nafynwmysk,nebinomiseukeu,nevuin'nomuisuku,nie wen nuo mei si ke,nwynwmysk,nywynwmysk,Невинномисск,Невинномиськ,Невинномысск,Невинномысск балһсн,Невиномиск,Нявіннамыск,Նեվինոմիսկ,نافينوميسك,نوینومیسک,نیوینومیسک,ネヴィンノムイスク,涅溫諾梅斯克,네비노미스크;P;PPLA2;RU;Russian Federation;;70;;;;134345;;330;Europe/Moscow;2024-01-09;Russian Federation;44.6333, 41.9444
522942;Neftekamsk;Neftekamsk;Kasevo,Kaseyevo,NEF,Nefcjakamsk,Neftekama,Neftekams'k,Neftekamsk,Neftekamska,Neftekamskas,Nieftiekamsk,Njeftekamsk,Nyeftyekamszk,Něftěkamsk,nebtekamseukeu,nftkamsk,nie fu jie ka mu si ke,nyftykamsk,Ņeftekamska,Нефтекама,Нефтекамск,Нефтекамск балһсн,Нефтекамськ,Нефцякамск,نفتكامسك,نفتکامسک,نیفتیکامسک,涅夫捷卡姆斯克,넵테캄스크;P;PPL;RU;Russian Federation;;08;;;;126805;;108;Asia/Yekaterinburg;2023-05-28;Russian Federation;56.092, 54.2661
523051;Nebolchi;Nebolchi;Nebalchy,Nebolchi,Nebolci,Neboltschi,Neboltsi,Neboltsji,Neboltši,Nebolçi,Nebolči,Niebolczi,Niebołczi,nbwlchy  rwsyh,nie bo er qi,Небалчы,Неболчи,Неболчі,Նեբոլչի,نبولچی، روسیه,涅博尔奇;P;PPL;RU;Russian Federation;;52;;;;2198;;115;Europe/Moscow;2012-01-17;Russian Federation;59.12393, 33.34537
534595;Lobnya;Lobnya;Krasnaya Polyana,Lobnja,Lobnya,Лобня;P;PPLA2;RU;Russian Federation;;47;;;;61772;;197;Europe/Moscow;2023-07-11;Russian Federation;56.02714, 37.46793
535229;Liman;Liman;Dolban,Liman,Лиман;P;PPLA2;RU;Russian Federation;;07;;;;8858;;-20;Europe/Astrakhan;2024-01-09;Russian Federation;45.78205, 47.22393
539233;Kumukh;Kumukh;Kumukh,Кумух;P;PPLA2;RU;Russian Federation;;17;;;;2658;;1524;Europe/Moscow;2023-10-06;Russian Federation;42.17018, 47.11597
542287;Golovinskiy;Golovinskiy;Golovinskiy,Krasnooktjabr'skij,Krasnooktyabr'skiy,Krasnooktyabr’skiy,Краснооктябрьский;P;PPLX;RU;Russian Federation;;48;;;;10000;;155;Europe/Moscow;2013-04-02;Russian Federation;55.85381, 37.49604
542374;Krasnogorsk;Krasnogorsk;Ban'ki,Ban’ki,Krasnogors'k,Krasnogorsk,Krasnogorsk i Moskva oblast,Krasnogorska,Krasnoqorsk,ke la si nuo ge er si ke,keulaseunogoleuseukeu,krasnwghwrsk,krasnwgwrsk,krasnwgwrsk  mskw,kurasunogorusuku,Красногорск,Красногорск балһсн,Красногорськ,كراسنوغورسك,کراسنوگورسک,کراسنوگورسک، مسکو,クラスノゴルスク,克拉斯諾戈爾斯克,크라스노고르스크;P;PPLA2;RU;Russian Federation;;47;;;;92932;;164;Europe/Moscow;2023-07-11;Russian Federation;55.81904, 37.32984
545267;Konstantinovskoye;Konstantinovskoye;Konstaninovka,Konstantinovka,Konstantinovskoe,Konstantinovskoje,Konstantinovskoye,Константиновское;P;PPL;RU;Russian Federation;;70;;;;5816;;240;Europe/Moscow;2012-01-17;Russian Federation;45.29917, 42.63667
545747;Komsomolets;Komsomolets;Komsomolec,Komsomolets,Sovkhoz Komsomolets,Комсомолец;P;PPL;RU;Russian Federation;;72;;;;3678;;176;Europe/Moscow;2012-01-17;Russian Federation;52.7686, 41.28683
